ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,START,STOP,ENCOUNTER,CODE,DESCRIPTION
4051241c-28b8-4409-a903-da0f4593682f,6/6/1971,,999-71-5643,S99989143,X60757569X,Mr.,Tracy345,Skiles927,,,M,white,nonhispanic,M,Marblehead  Massachusetts  US,884 Auer Annex,Uxbridge,Massachusetts,Worcester County,,42.10399442,-71.60337809,1307003.54,4997.12,6/5/1974,,5921ab74-99b6-49c9-a7d3-ad8349070ca8,128613002.0,"Seizure disorder, History of single seizure (situation), Hypertension, Body mass index 30+ - obesity (finding), Cough (finding), Sore throat symptom (finding), Viral sinusitis (disorder)"
09fd99fe-395f-44b8-b03d-188af8193950,10/28/1915,3/3/1990,999-77-6721,S99996606,X31277871X,Mrs.,Londa304,Hessel84,,Weimann465,M,white,nonhispanic,F,Somerville  Massachusetts  US,136 Ratke Manor,Dighton,Massachusetts,Bristol County,,41.81765972,-71.18273423,1416726.1,356060.14,12/21/1933,,e9e9254b-75fb-4c28-8694-4ac7c5d8f076,59621000.0,"Hypertension, Cardiac Arrest, History of cardiac arrest (situation), Prediabetes, Anemia (disorder), Smokes tobacco daily, Atrial Fibrillation, Osteoporosis (disorder), Suspected lung cancer (situation), Non-small cell lung cancer (disorder), Non-small cell carcinoma of lung  TNM stage 1 (disorder)"
95d60708-f6e7-4fc3-a356-6d59856ef6ee,3/26/1959,,999-73-9949,S99912497,X76883574X,Mr.,Leigh689,Lubowitz58,,,M,white,nonhispanic,M,Boston  Massachusetts  US,798 Gislason Green Suite 35,Wakefield,Massachusetts,Middlesex County,1880.0,42.53756166,-71.10288984,1259117.57,8186.52,5/3/1973,,e84d2538-70ed-4b84-9f60-b3bba2db29aa,40055000.0,"Chronic sinusitis (disorder), Prediabetes, Anemia (disorder), Sputum finding (finding), Muscle pain (finding), Joint pain (finding), Chill (finding), Fever (finding)"
67e115bf-1fd3-4cde-ac00-2eb30c21fb08,8/22/2000,,999-88-6112,S99980594,,Mr.,Christian753,Williamson769,,,,white,nonhispanic,M,Chelsea  Massachusetts  US,348 Beier Walk Unit 18,Medford,Massachusetts,Middlesex County,,42.40204749,-71.15136114,470224.81,7369.28,8/29/2002,11/28/2019,2f607765-6ce9-4a23-a7dd-d300d7519ed8,233678006.0,"Childhood asthma, Sore throat symptom (finding), Muscle pain (finding), Joint pain (finding), Fever (finding)"
7aa14972-156e-42f5-8388-4956dd5bb6a8,4/3/1969,,999-83-4435,S99964476,X10469354X,Mr.,Miquel905,Bergstrom287,,,M,white,nonhispanic,M,Rutland  Massachusetts  US,907 Waelchi Meadow,Yarmouth,Massachusetts,Barnstable County,,41.69846053,-70.19125785,159128.47,12807.34,5/28/1987,,b07c150b-1121-4dd5-bc3b-8dafc8aa0cd4,59621000.0,"Hypertension, Body mass index 30+ - obesity (finding), Prediabetes, Anemia (disorder), Passive conjunctival congestion (finding), Nasal congestion (finding), Headache (finding), Sputum finding (finding), Dyspnea (finding), Wheezing (finding), Muscle pain (finding), Joint pain (finding), Chill (finding), Fever (finding), Pneumonia (disorder), Hypoxemia (disorder), Respiratory distress (finding), Acute respiratory failure (disorder)"
a0e0a322-fdb5-4810-8643-7300ad21826a,12/23/1978,,999-46-3971,S99934683,X47947758X,Mrs.,Ginny287,Jacobi462,,Lowe577,M,white,nonhispanic,F,Chicopee  Massachusetts  US,396 Rolfson Rue Suite 45,Topsfield,Massachusetts,Essex County,1983.0,42.61484752,-70.96895139,874657.71,9905.36,10/12/1996,,0deed51b-6ac6-4082-bad4-741b6535dae6,19169002.0,"Miscarriage in first trimester, Tubal pregnancy, Fever (finding), Pneumonia (disorder), Hypoxemia (disorder), Respiratory distress (finding), Acute respiratory failure (disorder), Acute pulmonary embolism (disorder)"
7405088b-ae85-420a-a819-44df3b1d5d5e,9/18/1913,12/25/1941,999-47-5808,S99965672,X23440298X,Mr.,Sean831,Ortiz186,,,M,white,nonhispanic,M,Lowell  Massachusetts  US,660 Witting Wynd Apt 43,New Bedford,Massachusetts,Bristol County,,41.50313818,-70.96233177,721878.08,3388.84,9/21/1922,,c7f72687-1a24-47b0-a0b6-bd7d6f7f3ae6,53741008.0,"Coronary Heart Disease, Body mass index 30+ - obesity (finding), Myocardial Infarction, History of myocardial infarction (situation)"
a1996184-cbbb-4ca5-9634-a18b6f5db518,3/30/1973,,999-24-4798,S99973068,X58162558X,Mr.,Antonio44,de Jesús414,,,M,white,hispanic,M,San Jose  San Jose  CR,581 Hegmann Parade Unit 6,Boston,Massachusetts,Suffolk County,2116.0,42.33565998,-71.09985379,28526.83,0.0,5/24/1991,,8ed11571-c3db-42f0-929c-2a5cfa9d64ef,59621000.0,"Hypertension, Chronic sinusitis (disorder), Body mass index 30+ - obesity (finding), Cardiac Arrest, History of cardiac arrest (situation)"
98a84316-8f0a-45ec-9e92-f7b2c5f5a96e,3/30/1961,,999-77-1694,S99983819,X60733746X,Mr.,Scot349,Roob72,,,M,white,nonhispanic,M,Wilbraham  Massachusetts  US,984 Carter Ville,Freetown,Massachusetts,Bristol County,,41.79856891,-71.02463315,1568579.28,4293.84,6/5/1986,,0db7df06-9396-495f-95be-a41a7aeb47e4,15777000.0,"Prediabetes, Anemia (disorder), Polyp of colon, Recurrent rectal polyp, Cough (finding), Sputum finding (finding), Fatigue (finding), Fever (finding), Loss of taste (finding)"
d3585570-5b3b-4239-8ed0-b52a73713f5c,3/29/1963,,999-88-1846,S99998162,X82291653X,Mr.,Curtis94,Wisoky380,,,M,white,hispanic,M,Gardner  Massachusetts  US,791 Hyatt Brook Suite 91,Whitman,Massachusetts,Plymouth County,,42.09500085,-70.97998572,1462391.83,11628.96,5/22/1981,,138b9a30-8b75-4f9c-bb81-e7fb0f2e51e4,59621000.0,"Hypertension, Body mass index 30+ - obesity (finding), Chronic sinusitis (disorder), Cough (finding), Sputum finding (finding), Dyspnea (finding), Wheezing (finding), Fever (finding), Loss of taste (finding), Pneumonia (disorder), Hypoxemia (disorder), Respiratory distress (finding), Sepsis caused by virus (disorder)"
